{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 63], [train loss 3.06936], [loss_fuse 0.31687], [loss1_h2l 0.33749], [loss2_h2l 0.33505], [loss3_h2l 0.33586], [loss4_h2l 0.34673], [loss1_l2h 0.34593], [loss2_l2h 0.34027], [loss3_l2h 0.34134], [loss4_l2h 0.34189], [lr 0.0049301956340], [loss_con 0.02794]
[iter 64], [train loss 3.04651], [loss_fuse 0.31460], [loss1_h2l 0.33527], [loss2_h2l 0.33283], [loss3_h2l 0.33368], [loss4_h2l 0.34469], [loss1_l2h 0.34301], [loss2_l2h 0.33732], [loss3_l2h 0.33848], [loss4_l2h 0.33898], [lr 0.0049290688609], [loss_con 0.02764]
[iter 65], [train loss 3.03095], [loss_fuse 0.31297], [loss1_h2l 0.33411], [loss2_h2l 0.33167], [loss3_h2l 0.33244], [loss4_h2l 0.34383], [loss1_l2h 0.34076], [loss2_l2h 0.33496], [loss3_l2h 0.33618], [loss4_l2h 0.33665], [lr 0.0049279420592], [loss_con 0.02739]
[iter 66], [train loss 3.01945], [loss_fuse 0.31173], [loss1_h2l 0.33262], [loss2_h2l 0.33029], [loss3_h2l 0.33086], [loss4_h2l 0.34263], [loss1_l2h 0.33985], [loss2_l2h 0.33376], [loss3_l2h 0.33516], [loss4_l2h 0.33538], [lr 0.0049268152289], [loss_con 0.02717]
[iter 67], [train loss 3.00623], [loss_fuse 0.31013], [loss1_h2l 0.33045], [loss2_h2l 0.32813], [loss3_h2l 0.32868], [loss4_h2l 0.34067], [loss1_l2h 0.33928], [loss2_l2h 0.33307], [loss3_l2h 0.33438], [loss4_l2h 0.33455], [lr 0.0049256883699], [loss_con 0.02688]
[iter 68], [train loss 3.01613], [loss_fuse 0.31173], [loss1_h2l 0.33124], [loss2_h2l 0.32898], [loss3_h2l 0.32953], [loss4_h2l 0.34193], [loss1_l2h 0.34060], [loss2_l2h 0.33411], [loss3_l2h 0.33539], [loss4_l2h 0.33558], [lr 0.0049245614823], [loss_con 0.02705]
[iter 69], [train loss 2.99307], [loss_fuse 0.30924], [loss1_h2l 0.32847], [loss2_h2l 0.32621], [loss3_h2l 0.32682], [loss4_h2l 0.33952], [loss1_l2h 0.33847], [loss2_l2h 0.33166], [loss3_l2h 0.33290], [loss4_l2h 0.33299], [lr 0.0049234345660], [loss_con 0.02681]
[iter 70], [train loss 2.97610], [loss_fuse 0.30751], [loss1_h2l 0.32663], [loss2_h2l 0.32438], [loss3_h2l 0.32494], [loss4_h2l 0.33766], [loss1_l2h 0.33659], [loss2_l2h 0.32974], [loss3_l2h 0.33093], [loss4_l2h 0.33104], [lr 0.0049223076211], [loss_con 0.02668]
[iter 71], [train loss 2.96497], [loss_fuse 0.30625], [loss1_h2l 0.32520], [loss2_h2l 0.32302], [loss3_h2l 0.32358], [loss4_h2l 0.33670], [loss1_l2h 0.33554], [loss2_l2h 0.32854], [loss3_l2h 0.32977], [loss4_l2h 0.32989], [lr 0.0049211806475], [loss_con 0.02648]
[iter 72], [train loss 2.95128], [loss_fuse 0.30481], [loss1_h2l 0.32344], [loss2_h2l 0.32124], [loss3_h2l 0.32187], [loss4_h2l 0.33525], [loss1_l2h 0.33401], [loss2_l2h 0.32720], [loss3_l2h 0.32839], [loss4_l2h 0.32856], [lr 0.0049200536452], [loss_con 0.02650]
