{'iter_num': 5000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 54], [train loss 3.04178], [loss_fuse 0.32206], [loss1_h2l 0.34094], [loss2_h2l 0.33797], [loss3_h2l 0.33807], [loss4_h2l 0.34804], [loss1_l2h 0.33659], [loss2_l2h 0.33732], [loss3_l2h 0.33890], [loss4_l2h 0.34188], [lr 0.0049522746202]
[iter 55], [train loss 3.02768], [loss_fuse 0.32002], [loss1_h2l 0.33857], [loss2_h2l 0.33564], [loss3_h2l 0.33569], [loss4_h2l 0.34637], [loss1_l2h 0.33570], [loss2_l2h 0.33672], [loss3_l2h 0.33807], [loss4_l2h 0.34090], [lr 0.0049513736515]
[iter 56], [train loss 3.00992], [loss_fuse 0.31738], [loss1_h2l 0.33640], [loss2_h2l 0.33356], [loss3_h2l 0.33413], [loss4_h2l 0.34541], [loss1_l2h 0.33412], [loss2_l2h 0.33449], [loss3_l2h 0.33582], [loss4_l2h 0.33861], [lr 0.0049504726646]
[iter 57], [train loss 2.99369], [loss_fuse 0.31518], [loss1_h2l 0.33465], [loss2_h2l 0.33185], [loss3_h2l 0.33273], [loss4_h2l 0.34486], [loss1_l2h 0.33201], [loss2_l2h 0.33233], [loss3_l2h 0.33360], [loss4_l2h 0.33649], [lr 0.0049495716594]
[iter 58], [train loss 2.97470], [loss_fuse 0.31290], [loss1_h2l 0.33290], [loss2_h2l 0.33003], [loss3_h2l 0.33078], [loss4_h2l 0.34388], [loss1_l2h 0.32952], [loss2_l2h 0.32983], [loss3_l2h 0.33099], [loss4_l2h 0.33388], [lr 0.0049486706360]
[iter 59], [train loss 2.94983], [loss_fuse 0.30978], [loss1_h2l 0.33001], [loss2_h2l 0.32718], [loss3_h2l 0.32815], [loss4_h2l 0.34157], [loss1_l2h 0.32701], [loss2_l2h 0.32699], [loss3_l2h 0.32815], [loss4_l2h 0.33099], [lr 0.0049477695944]
[iter 60], [train loss 2.93449], [loss_fuse 0.30781], [loss1_h2l 0.32799], [loss2_h2l 0.32523], [loss3_h2l 0.32626], [loss4_h2l 0.34014], [loss1_l2h 0.32565], [loss2_l2h 0.32548], [loss3_l2h 0.32660], [loss4_l2h 0.32934], [lr 0.0049468685346]
[iter 61], [train loss 2.91475], [loss_fuse 0.30537], [loss1_h2l 0.32543], [loss2_h2l 0.32278], [loss3_h2l 0.32396], [loss4_h2l 0.33806], [loss1_l2h 0.32392], [loss2_l2h 0.32347], [loss3_l2h 0.32451], [loss4_l2h 0.32725], [lr 0.0049459674565]
[iter 62], [train loss 2.89917], [loss_fuse 0.30353], [loss1_h2l 0.32388], [loss2_h2l 0.32127], [loss3_h2l 0.32234], [loss4_h2l 0.33671], [loss1_l2h 0.32217], [loss2_l2h 0.32151], [loss3_l2h 0.32255], [loss4_l2h 0.32521], [lr 0.0049450663602]
[iter 63], [train loss 2.88359], [loss_fuse 0.30175], [loss1_h2l 0.32172], [loss2_h2l 0.31914], [loss3_h2l 0.32008], [loss4_h2l 0.33510], [loss1_l2h 0.32086], [loss2_l2h 0.32011], [loss3_l2h 0.32117], [loss4_l2h 0.32368], [lr 0.0049441652457]
[iter 64], [train loss 2.87464], [loss_fuse 0.30073], [loss1_h2l 0.32127], [loss2_h2l 0.31876], [loss3_h2l 0.31927], [loss4_h2l 0.33467], [loss1_l2h 0.31937], [loss2_l2h 0.31870], [loss3_l2h 0.31972], [loss4_l2h 0.32214], [lr 0.0049432641129]
[iter 65], [train loss 2.86052], [loss_fuse 0.29891], [loss1_h2l 0.31956], [loss2_h2l 0.31712], [loss3_h2l 0.31775], [loss4_h2l 0.33353], [loss1_l2h 0.31801], [loss2_l2h 0.31709], [loss3_l2h 0.31802], [loss4_l2h 0.32052], [lr 0.0049423629618]
[iter 66], [train loss 2.84411], [loss_fuse 0.29699], [loss1_h2l 0.31752], [loss2_h2l 0.31509], [loss3_h2l 0.31581], [loss4_h2l 0.33185], [loss1_l2h 0.31647], [loss2_l2h 0.31544], [loss3_l2h 0.31626], [loss4_l2h 0.31870], [lr 0.0049414617925]
[iter 67], [train loss 2.83768], [loss_fuse 0.29628], [loss1_h2l 0.31683], [loss2_h2l 0.31442], [loss3_h2l 0.31499], [loss4_h2l 0.33148], [loss1_l2h 0.31568], [loss2_l2h 0.31468], [loss3_l2h 0.31546], [loss4_l2h 0.31785], [lr 0.0049405606049]
[iter 68], [train loss 2.82032], [loss_fuse 0.29427], [loss1_h2l 0.31518], [loss2_h2l 0.31278], [loss3_h2l 0.31335], [loss4_h2l 0.33026], [loss1_l2h 0.31344], [loss2_l2h 0.31239], [loss3_l2h 0.31312], [loss4_l2h 0.31553], [lr 0.0049396593991]
[iter 69], [train loss 2.83607], [loss_fuse 0.29646], [loss1_h2l 0.31730], [loss2_h2l 0.31496], [loss3_h2l 0.31541], [loss4_h2l 0.33284], [loss1_l2h 0.31440], [loss2_l2h 0.31353], [loss3_l2h 0.31444], [loss4_l2h 0.31671], [lr 0.0049387581750]
